,gt_confluence_mean,pred_confluence_mean,relative_delta_confluence_mean,iou_mean,precision_mean,recall_mean,f1_mean,true_negative_mean,accuracy_mean,step,dAbsConf_mean,dAbsAbsConf_mean,images_mean,method,gt_confluence_std,pred_confluence_std,relative_delta_confluence_std,iou_std,precision_std,recall_std,f1_std,true_negative_std,accuracy_std,dAbsConf_std,dAbsAbsConf_std,images_std
0,0.26927656,0.3281048,0.26356012,0.1800589,0.27985185,0.34049752,0.30487877,1214810.5,0.5859957,0,0.058828276,0.06843676,total,al,2.9802322e-08,0.056579553,0.15635017,0.01540457,0.0030045535,0.05611016,0.022221992,101955.1,0.02640914,0.056579553,0.044479452,total
1,0.26927656,0.22626047,0.22126004,0.14704606,0.2832079,0.2378129,0.2559242,1397149.1,0.63253886,0,-0.04301605,0.049714167,total,rand,2.9802322e-08,0.044457525,0.12705506,0.018649098,0.0047015413,0.046138413,0.028676959,78843.266,0.019765455,0.044457518,0.036815125,total
2,0.26927656,0.24282649,0.16997711,0.15429178,0.28499907,0.25657052,0.26673633,1368849.8,0.6260748,1,-0.02645005,0.03664039,total,rand,2.9802322e-08,0.04881288,0.1357131,0.02106484,0.0028816878,0.050040442,0.03282975,86876.2,0.021901727,0.048812877,0.04171072,total
3,0.26927656,0.29251966,0.29931104,0.16533077,0.2820925,0.30515084,0.28120524,1278873.0,0.6025447,1,0.023243148,0.07853177,total,al,2.9802322e-08,0.09397927,0.20286089,0.04297443,0.0045786514,0.097278476,0.06900658,166611.2,0.041621618,0.09397927,0.056613673,total
4,0.26927656,0.35141554,0.37611252,0.18542232,0.28004682,0.36481097,0.3122115,1173612.0,0.57577896,2,0.08213902,0.09784231,total,al,2.9802322e-08,0.08400816,0.23557618,0.022682423,0.0035192394,0.08465519,0.032702923,150492.28,0.03848997,0.084008165,0.06504669,total
5,0.26927656,0.23709631,0.3414537,0.14000438,0.2521455,0.24705747,0.2402153,1376636.8,0.62668175,2,-0.03218023,0.082869574,total,rand,2.9802322e-08,0.115063846,0.29793817,0.06072365,0.08411043,0.11967936,0.101546824,203595.34,0.050630275,0.115063846,0.08606909,total
6,0.26927656,0.3402919,0.37434208,0.18013445,0.27985087,0.35241002,0.30432096,1192742.9,0.5802241,3,0.07101537,0.093606755,total,al,2.9802322e-08,0.11044122,0.32843372,0.02795379,0.003987961,0.11089348,0.040406886,198044.05,0.050732262,0.11044124,0.092077255,total
7,0.26927656,0.31151167,0.21236756,0.17527294,0.27976233,0.32346025,0.2979818,1244315.0,0.5934133,3,0.04223513,0.050583977,total,rand,2.9802322e-08,0.052366756,0.15026623,0.01521579,0.002377858,0.05302671,0.022042252,93654.82,0.023874054,0.052366756,0.044354755,total
8,0.26927656,0.2970792,0.21971317,0.17017671,0.28006145,0.3084961,0.2904313,1269881.2,0.59978676,4,0.027802676,0.055393267,total,al,2.9802322e-08,0.06192178,0.14451405,0.01843958,0.0029508555,0.0620966,0.026953023,111113.89,0.028516702,0.06192178,0.039228585,total
9,0.26927656,0.29941213,0.18837015,0.17200093,0.2801214,0.31126004,0.29330006,1265977.0,0.5989424,4,0.030135602,0.041435216,total,rand,2.9802322e-08,0.04456635,0.12478105,0.013186892,0.0032648463,0.04464782,0.019213967,80102.77,0.020679755,0.04456634,0.034313794,total
10,0.26927656,0.29005176,0.22373588,0.16898231,0.28201646,0.3033032,0.28857115,1283715.4,0.6040176,5,0.020775253,0.051255126,total,rand,2.9802322e-08,0.06433852,0.15000485,0.02066581,0.0026239161,0.065565966,0.030467952,114742.664,0.029046332,0.06433851,0.04409045,total
11,0.26927656,0.2970782,0.2263083,0.17139445,0.28102478,0.3096542,0.2923193,1270650.2,0.60041153,5,0.027801657,0.042856064,total,al,2.9802322e-08,0.052541465,0.12326353,0.015863184,0.002986291,0.053173553,0.023151333,93968.73,0.023945898,0.05254147,0.041193392,total
12,0.26927656,0.32286173,0.29277092,0.17641374,0.28173494,0.33633327,0.29920545,1224940.1,0.58899605,6,0.05358519,0.07212536,total,rand,2.9802322e-08,0.11846778,0.39752778,0.024432443,0.0037686648,0.116995886,0.034290846,213735.88,0.055477545,0.11846778,0.10818466,total
13,0.26927656,0.31907606,0.29501683,0.1773528,0.2805587,0.33199808,0.30082738,1231374.9,0.590447,6,0.049799506,0.062482737,total,al,2.9802322e-08,0.06599002,0.15692064,0.019050747,0.0028078451,0.06681657,0.027564388,117993.22,0.030049473,0.06599002,0.05413485,total
14,0.26927656,0.29958707,0.16645145,0.17353801,0.2818572,0.3134256,0.29559022,1266980.2,0.59993374,7,0.03031053,0.03543891,total,rand,2.9802322e-08,0.039225116,0.11445253,0.011448434,0.0017044152,0.039844457,0.016518453,70049.984,0.017790727,0.039225116,0.034661528,total
15,0.26927656,0.30595362,0.19726752,0.17435929,0.279927,0.31788045,0.29683468,1254281.8,0.59596634,7,0.036677107,0.04134362,total,al,2.9802322e-08,0.033038035,0.081999935,0.009376191,0.0018257797,0.032803193,0.013590709,59507.938,0.015399888,0.03303804,0.02697086,total
16,0.26927656,0.32299653,0.26830152,0.17971344,0.28168315,0.33762294,0.30430666,1225462.2,0.58955586,8,0.053719997,0.05734541,total,rand,2.9802322e-08,0.06484923,0.19686481,0.01742385,0.0020226713,0.06637053,0.024774337,115474.77,0.029136153,0.06484923,0.06166656,total
17,0.26927656,0.3209585,0.24545784,0.17893317,0.27978897,0.3334034,0.30343947,1227678.6,0.5893214,8,0.051681947,0.051681947,total,al,2.9802322e-08,0.03335397,0.08862565,0.009546687,0.0017121659,0.03397733,0.013709875,59529.613,0.015113136,0.03335397,0.03335397,total
18,0.26927656,0.29209203,0.25457376,0.1688066,0.28311175,0.30570525,0.2882207,1280290.9,0.60327095,9,0.022815498,0.063368976,total,rand,2.9802322e-08,0.088349685,0.2367203,0.02263611,0.0050636684,0.0872647,0.032630328,159390.39,0.041367978,0.088349685,0.06565505,total
19,0.26927656,0.28721255,0.32763407,0.16041477,0.2523498,0.2988534,0.27208415,1287748.2,0.60446036,9,0.01793602,0.07875519,total,al,2.9802322e-08,0.105892085,0.25175002,0.055056,0.08413095,0.109580725,0.09266073,187734.94,0.046893258,0.105892085,0.07302364,total
20,0.26927656,0.3289223,0.2736166,0.18062034,0.2801636,0.3418191,0.30566245,1213676.0,0.5858899,10,0.05964578,0.07251577,total,al,2.9802322e-08,0.05397698,0.12987094,0.015899828,0.0021087334,0.054153673,0.023198843,96818.516,0.024815174,0.053976975,0.034822334,total
21,0.26927656,0.2842368,0.3098088,0.16037855,0.25277677,0.29636264,0.27214846,1293413.2,0.6060947,10,0.014960271,0.072625235,total,rand,2.9802322e-08,0.09922031,0.23886172,0.054175727,0.084270075,0.10319139,0.09160398,175563.2,0.043657903,0.09922031,0.06923911,total
22,0.26927656,0.29380628,0.21599314,0.17066523,0.2822965,0.30743214,0.2910927,1277220.8,0.6024867,11,0.02452977,0.05580964,total,rand,2.9802322e-08,0.057879712,0.096616775,0.019395962,0.0039045138,0.05865492,0.028761229,103466.35,0.026339713,0.057879712,0.028931893,total
23,0.26927656,0.32465452,0.21605957,0.18108216,0.28092784,0.33857495,0.30658096,1222017.6,0.58841056,11,0.055377997,0.055377997,total,al,2.9802322e-08,0.026215285,0.091298,0.006808173,0.001678735,0.02571832,0.009761576,47438.504,0.012404587,0.026215285,0.026215285,total
24,0.26927656,0.2724824,0.25920472,0.15711033,0.25364104,0.2850174,0.2673933,1314792.8,0.61173904,12,0.0032058745,0.05766804,total,al,2.9802322e-08,0.09814075,0.27106217,0.053351615,0.084565625,0.10209622,0.09032033,173645.47,0.04318233,0.09814074,0.07947502,total
25,0.26927656,0.29898232,0.2168074,0.17245299,0.28158087,0.3120993,0.2938947,1267588.8,0.5998242,12,0.029705793,0.04656473,total,rand,2.9802322e-08,0.049319133,0.10727794,0.014930043,0.0034096795,0.048725247,0.021952456,88994.25,0.023119658,0.04931913,0.033860546,total
26,0.26927656,0.27059764,0.2819768,0.15600297,0.25341865,0.28251833,0.26573378,1317771.0,0.6122779,13,0.0013211115,0.06736035,total,rand,2.9802322e-08,0.09866961,0.25595692,0.05335964,0.08454506,0.10199658,0.09030406,175036.02,0.04379763,0.09866961,0.07211118,total
27,0.26927656,0.2739676,0.27293396,0.15714718,0.2533044,0.286096,0.26740536,1311856.6,0.6108347,13,0.0046910634,0.06829088,total,al,2.9802322e-08,0.099697225,0.26190445,0.05366554,0.08447385,0.1034256,0.09072706,176605.81,0.044042565,0.09969722,0.07278666,total
